trip_id,rider_id,zone_id,trip_datetime,distance_km,trip_duration_min,fare_amount,cancelled,payment_mode,hour,day_of_week,month,avg_traffic_index,population_density,traffic_level,zone_Airport District,zone_Central Market,zone_Downtown Core,zone_East End,zone_Greenwood Hills,zone_Harbor Bay,zone_Hillcrest,zone_Industrial Zone,zone_Lakeview,zone_North Ridge,zone_Old Town,zone_Riverside,zone_Sunset Plaza,zone_Tech Park,zone_University Belt,zone_West Gate,traffic_level_encoded,fare_amount_log,distance_km_log,trip_duration_min_sqrt,fare_amount_standard,distance_km_standard,trip_duration_min_standard,fare_amount_minmax,distance_km_minmax,trip_duration_min_minmax,is_peak_hour,fare_per_km,surge_flag,name,age,gender,signup_date,rider_rating,home_zone_id,gender_encoded,pay_Card,pay_Cash,pay_UPI,pay_Wallet,ride_count,ride_frequency_bin,avg_ride_distance,avg_ride_fare,ride_cancellation_rate,days_since_signup
1,499,3,2024-07-30 10:51:00,3.61,9.3,58.65,0,Card,10,Tuesday,7,2.4,5165,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,4.0884941485439255,1.5282278570085572,3.0495901363953815,-0.39058755902881176,-0.3702964155464819,-0.544793135816858,0.0858675403863691,0.10161978095505883,0.170606372045221,0,16.246537396121884,0,Anika Reddy,49.0,Female,2023-05-19,4.52,9.0,0.0,False,True,False,False,7.0,High,9.657463935580022,157.31856338028186,0.0,1194.0
2,304,2,2024-06-07 08:56:00,3.27,13.9,44.99,0,Wallet,8,Friday,6,7.59,15568,High,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.0,3.8284239815518326,1.4516138272405332,3.7282703764614498,-0.5821496409603869,-0.4336574187755376,-0.21210455467887224,0.0554818722056794,0.09032869418227452,0.2651593011305242,1,13.758409785932722,0,Diya Verma,21.0,Female,2022-02-22,3.47,10.0,0.0,False,False,False,True,8.0,High,4.94875,75.66875,0.0,1645.0
3,475,13,2024-04-28 18:49:00,2.82,8.6,53.83,0,Cash,18,Sunday,4,5.1,19951,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.004237489415957,1.3402504226184837,2.932575659723036,-0.45818120726528266,-0.5175175701081113,-0.5954196590335081,0.07514580388337316,0.07538460874770704,0.15621788283658788,1,19.088652482269502,0,Kiara Walker,27.0,Male,2023-06-25,4.307041666666667,11.0,1.0,False,False,False,True,9.0,High,3.71,66.68688888888889,0.0,1157.0
4,70,4,2024-02-26 13:59:00,6.96,18.9,109.022,0,Card,13,Monday,2,1.52,21855,Low,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,4.7006803457950825,2.0744289998562917,4.347413023856832,0.3158081357777258,0.25399582215156685,0.14951346829719914,0.19791636012265765,0.21287019474572783,0.36793422404933196,0,15.664080459770116,0,Myra Brown,40.0,Female,2024-02-06,5.0,13.0,0.0,False,False,False,True,9.0,High,7.584444444444445,100.938,0.0,931.0
5,275,12,2024-03-16 14:21:00,10.83,33.4,148.82,0,Card,14,Saturday,3,3.63,10109,Low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,5.009434573519737,2.4706386779902956,5.779273310719955,0.8739185118181961,0.9751931236117009,1.1982057349278066,0.28644409235216634,0.3413893294830081,0.6659815005138746,0,13.741458910433979,0,John Singh,34.0,Male,2022-04-27,4.69,16.0,1.0,False,True,False,False,5.0,Medium,5.5200000000000005,90.764,0.0,1581.0
6,81,10,2024-08-07 15:44:00,4.99,13.1,85.67,0,Card,15,Wednesday,8,4.89,8343,Medium,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,4.462107803146254,1.7900914121273581,3.6193922141707713,-0.011670468707350556,-0.11312528479325579,-0.2699634383550437,0.14597154874963672,0.14744830962106575,0.24871531346351491,0,17.168336673346694,0,Aadhya Singh,23.0,Male,2024-05-10,3.54,8.0,1.0,False,False,True,False,5.0,Medium,7.392,103.7628,0.2,837.0
7,365,8,2024-05-09 12:31:00,1.68,9.5,29.99,0,Cash,12,Thursday,5,2.64,5810,Low,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,3.433664571799657,0.9858167945227653,3.082207001484488,-0.7925033180448399,-0.729963286817298,-0.5303284148978152,0.022115472300090415,0.037526258980136104,0.1747173689619733,0,17.851190476190474,0,Riya Davis,36.0,Female,2023-07-25,4.39,8.0,0.0,False,False,True,False,5.0,Medium,6.63,100.44,0.0,1127.0
8,16,13,2024-06-13 15:23:00,1.21,3.423315164071172,29.835999999999995,0,Card,15,Thursday,6,5.1,19951,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,3.4286828385970156,0.7929925155296614,1.850220301496871,-0.7946629491295736,-0.817550555986875,-0.9698161662212665,0.02177291059439302,0.021917991970698963,0.04981120583907857,0,24.65785123966942,0,Olivia Lewis,35.0,Female,2023-08-21,4.79,8.0,0.0,False,False,False,True,5.0,Low,8.244800000000001,112.93119999999999,0.2,1100.0
9,412,5,2024-02-14 05:16:00,12.49,40.540000000000006,202.17,1,Cash,5,Wednesday,2,6.41,18139,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,5.314043067009519,2.6019486702196644,6.367102951892643,1.6220764233152336,1.2845439040829727,1.7145962717376373,0.4051172546830445,0.39651640019719037,0.8127440904419324,0,16.18654923939151,0,Arjun Wilson,25.0,Other,2024-03-11,4.02,13.0,2.0,False,False,False,True,5.0,Medium,7.456,116.18799999999999,0.2,897.0
10,102,13,2024-05-15 12:40:00,1.5,3.6,33.53,0,Wallet,12,Wednesday,5,5.1,19951,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,3.541828511401901,0.9162907318741551,1.8973665961010275,-0.7428598502529089,-0.7635073473503275,-0.9570376820095796,0.02998994267780942,0.031548624806309114,0.05344295991778007,0,22.353333333333335,0,William Wilson,32.07032967032967,Male,2023-03-20,4.41,5.0,1.0,False,False,True,False,9.0,High,6.601111111111111,96.38444444444445,0.0,1254.0
11,470,3,2024-01-08 22:29:00,3.89,19.1,59.42,0,Cash,22,Monday,1,2.4,5165,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,4.101320175958526,1.5871923034867808,4.370354676682432,-0.3797894036051432,-0.318116765828436,0.16397818921624221,0.087580348914856,0.11091832300323416,0.3720452209660844,0,15.275064267352185,0,Sophia Khan,25.0,Male,2022-04-13,5.0,13.0,1.0,True,False,False,False,5.0,Medium,5.21,83.674,0.0,1595.0
12,48,11,2024-02-14 14:39:00,4.12,7.6,59.61,0,UPI,14,Wednesday,2,6.51,4778,Medium,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,4.104459895963194,1.6331544390514163,2.756809750418044,-0.3771249236954068,-0.2752549107028983,-0.6677432636287224,0.0880029899803268,0.1185564111142353,0.13566289825282632,0,14.468446601941746,0,James Reddy,46.0,Female,2022-10-19,3.6,10.0,0.0,False,False,True,False,8.0,High,5.790044780054111,113.11460883774826,0.0,1406.0
13,421,13,2024-06-29 15:13:00,4.99,9.3,77.24,1,Cash,15,Saturday,6,5.1,19951,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.359781025726562,1.7900914121273581,3.0495901363953815,-0.12988923522881318,-0.11312528479325579,-0.544793135816858,0.1272196320026957,0.14744830962106575,0.170606372045221,0,15.478957915831662,0,Anika Taylor,38.0,Other,2023-08-18,5.0,12.0,2.0,False,False,True,False,10.0,High,2.88,50.84479,0.3,1103.0
14,466,6,2024-04-10 02:49:00,1.99,2.0,39.748000000000005,0,Cash,2,Wednesday,4,1.19,24292,Low,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,3.70740675872782,1.095273387402595,1.4142135623730951,-0.6556612393121669,-0.6721929603437472,-1.0727554493619225,0.043821427652006244,0.04782107339061592,0.020554984583761565,0,19.97386934673367,0,Aditya Reddy,37.0,Female,2022-04-02,4.52,11.0,0.0,True,False,False,False,3.0,Low,2.31,49.246,0.0,1606.0
15,332,10,2024-06-30 15:22:00,2.47,6.1,40.5,1,Wallet,15,Sunday,6,4.89,8343,Medium,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,3.7256934272366524,1.244154593958768,2.4698178070456938,-0.6451155083009998,-0.5827421322556686,-0.7762286705215439,0.04549419650060644,0.0637614311874879,0.10483042137718399,0,16.39676113360324,0,John Clark,28.0,Other,2023-05-21,4.88,9.0,2.0,False,False,True,False,7.0,High,3.2600000000000002,56.34285714285714,0.14285714285714285,1192.0
16,197,5,2024-06-01 15:19:00,3.52,9.8,70.47,0,Card,15,Saturday,6,6.41,18139,Medium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.269277781231888,1.5085119938441398,3.1304951684997055,-0.22482886148626288,-0.38706844581299665,-0.5086313335192508,0.11216026351197322,0.09863096386814534,0.1808838643371018,0,20.019886363636363,0,Aryan Wilson,52.0,Male,2022-04-04,5.0,14.0,1.0,True,False,False,False,10.0,High,4.1704,69.491,0.2,1604.0
17,196,12,2024-06-23 15:32:00,1.448,3.2,38.28,0,Wallet,15,Sunday,6,3.63,10109,Low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,3.670715483486265,0.8952713646500796,1.7888543819998317,-0.6762478525094988,-0.7731978537265362,-0.9859671238476654,0.04055596931457927,0.029821752711647984,0.04522096608427545,0,26.43646408839779,0,Myra Iyer,43.0,Female,2023-03-14,4.33,12.0,0.0,False,False,False,True,9.0,High,2.69,50.763333333333335,0.0,1260.0
18,199,9,2024-03-06 11:15:00,9.33,15.4,124.22,0,Wallet,11,Wednesday,3,3.74,13831,Low,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,4.830072190317164,2.3350522831315472,3.924283374069717,0.5289384813996933,0.6956592858364551,-0.10361914778605079,0.23172319650700038,0.2915757113677832,0.2959917780061665,0,13.314040728831726,0,Myra Johnson,38.0,Other,2024-02-08,4.98,10.0,2.0,True,False,False,False,7.0,High,10.033178221294307,135.56,0.0,929.0
19,30,16,2024-07-11 18:14:00,1.93,10.1,37.98,0,Cash,18,Thursday,7,6.47,5507,Medium,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0,3.6630486940794147,1.0750024230289759,3.1780497164141406,-0.680454926051188,-0.6833743138547571,-0.48693425214068664,0.03988864131646747,0.045828528666006924,0.18705035971223025,1,19.678756476683937,0,James Verma,41.0,Female,2022-03-14,4.46,16.0,0.0,False,False,False,True,6.0,Medium,2.316666666666667,47.55799999999999,0.16666666666666666,1625.0
20,52,8,2024-08-27 03:46:00,1.42,6.2,34.74,0,Card,3,Tuesday,8,2.64,5810,Low,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,3.576270509731282,0.883767540168595,2.4899799195977463,-0.7258913203014297,-0.7784158186983406,-0.7689963100620224,0.032681498936860266,0.028891898506830452,0.10688591983556014,0,24.464788732394368,0,Krishna Verma,16.0,Male,2023-10-12,4.33,2.0,1.0,False,False,False,True,14.0,High,2.7560000000000002,51.33957142857143,0.2857142857142857,1048.0
22,91,8,2024-08-03 17:30:00,8.69,30.5,131.59,0,Card,17,Saturday,8,2.64,5810,Low,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,4.887261660126628,2.2710944259026746,5.522680508593631,0.6322922547405213,0.5763915150523502,0.9884672816016852,0.24811722099394648,0.27032190097195385,0.6063720452209661,0,15.142692750287688,0,Aryan Miller,37.0,Male,2022-02-21,5.0,11.0,1.0,False,False,True,False,12.0,High,8.260187295755012,117.9225,0.08333333333333333,1646.0
23,361,12,2024-07-25 16:12:00,10.64,35.5,140.83,0,UPI,16,Thursday,7,3.63,10109,Low,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,4.954629157306516,2.454447442303292,5.958187643906492,0.7618701198245444,0.9397855041601698,1.3500853045777568,0.26867092333578935,0.3350796045217463,0.709146968139774,0,13.235902255639099,0,Krishna Verma,25.0,Other,2023-08-29,3.6,16.0,2.0,False,True,False,False,6.0,Medium,5.321666666666666,80.51666666666667,0.16666666666666666,1092.0
24,278,10,2024-03-04 22:02:00,0.79,2.0,21.47,0,Cash,22,Monday,3,4.89,8343,Medium,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,3.112181086197238,0.5822156198526637,1.4142135623730951,-0.9119842066288091,-0.8958200305639438,-1.0727554493619225,0.003163357153715872,0.007970178898435987,0.020554984583761565,0,27.177215189873415,0,Aryan Gupta,38.0,Female,2022-06-26,5.0,11.0,0.0,True,False,False,False,6.0,Medium,4.315,74.02,0.16666666666666666,1521.0
25,11,16,2024-01-01 05:58:00,14.29,42.6,168.698,0,Wallet,5,Monday,1,6.47,5507,Medium,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0,5.134020386666901,2.727199019940971,6.526867548832288,1.1526792046905132,1.6199845094132677,1.8635828972037782,0.3306612455070529,0.4562927419354602,0.8550873586844812,0,11.805318404478658,0,,,,,,,,,,,,,,,,,
26,368,6,2024-04-27 19:33:00,4.04,8.4,60.59,0,Cash,19,Saturday,4,1.19,24292,Low,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,4.120499519698952,1.6174060820832772,2.898275349237888,-0.3633818167925558,-0.29016338205091147,-0.6098843799525508,0.09018292810749196,0.11589968481475664,0.1521068859198356,1,14.997524752475249,0,Isha Walker,57.0,Other,2022-02-10,4.25,7.0,2.0,False,True,False,False,9.0,High,3.2744444444444443,56.01777777777778,0.2222222222222222,1657.0
27,397,4,2024-07-10 14:50:00,1.3,8.1,36.61,0,UPI,14,Wednesday,7,1.52,21855,Low,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,3.627269972482245,0.832909122935104,2.8460498941515415,-0.6996672285582346,-0.8007785257203603,-0.6315814613311153,0.03684117679175702,0.02490680905761246,0.14594039054470712,0,28.16153846153846,0,Sai Johnson,26.0,Other,2023-01-20,5.0,13.0,2.0,False,True,False,False,5.0,Medium,3.0200000000000005,51.108,0.0,1313.0
28,301,4,2024-05-02 12:54:00,4.12,12.4,50.05,0,UPI,12,Thursday,5,1.52,21855,Low,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,3.9328055446106744,1.6331544390514163,3.521363372331802,-0.5111903338905648,-0.2752549107028983,-0.32058996157169367,0.06673747110716474,0.1185564111142353,0.23432682425488185,0,12.148058252427184,0,Aditya Brown,32.0,Other,2023-04-14,4.85,12.0,2.0,False,True,False,False,7.0,High,7.130000000000001,99.28714285714285,0.0,1229.0
29,406,16,2024-08-24 08:37:00,6.0,20.1,98.94,0,Wallet,8,Saturday,8,6.47,5507,Medium,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0,4.604570005916059,1.9459101490553132,4.483302354291979,0.17442241762002872,0.07509416597540962,0.23630179381145652,0.1754896905327811,0.18098947915198388,0.39260020554984587,1,16.49,0,Kiara Patel,41.0,Male,2022-06-21,4.19,14.0,1.0,False,False,False,True,3.0,Low,9.013333333333334,144.65666666666667,0.0,1526.0
30,115,6,2024-05-17 18:22:00,6.1,13.8,90.75,1,Card,18,Friday,5,1.19,24292,Low,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,4.51906748693468,1.9600947840472698,3.714835124201342,0.059569309931917475,0.09372975516042593,-0.21933691513839365,0.15727163618432952,0.18431038702633218,0.26310380267214806,1,14.87704918032787,0,Arjun Reddy,44.0,Female,2022-07-03,3.95,5.0,0.0,True,False,False,False,10.0,High,4.215999999999999,67.46079,0.2,1514.0
31,486,13,2024-07-25 14:44:00,0.99,3.1,40.52,0,Cash,14,Thursday,7,5.1,19951,Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,3.7261752388576332,0.688134638736401,1.760681686165901,-0.6448350367315538,-0.8585488521939111,-0.9931994843071867,0.045538685033813885,0.014611994647132642,0.04316546762589929,0,40.929292929292934,1,Krishna Taylor,26.0,Male,2022-09-27,4.59,15.0,1.0,False,False,True,False,5.0,Medium,5.0120000000000005,90.6,0.2,1428.0
32,328,4,2024-06-29 15:43:00,1.47,9.2,34.19,0,Wallet,15,Saturday,6,1.52,21855,Low,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,3.5607619513334936,0.9042181506398859,3.03315017762062,-0.733604288461193,-0.7690980241058325,-0.5520254962763795,0.03145806427365532,0.030552352444004616,0.1685508735868448,0,23.258503401360542,0,Noah Mehta,26.0,Female,2022-10-20,4.54,8.0,0.0,True,False,False,False,9.0,High,3.800222222222222,67.25777777777779,0.0,1405.0
33,86,3,2024-08-20 16:33:00,9.6,37.2,109.59,0,Cash,16,Tuesday,8,2.4,5165,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,4.705829669087269,2.3608540011180215,6.099180272790763,0.3237735283499904,0.7459753766359992,1.473035432389621,0.1991798344657493,0.3005421626285237,0.7440904419321687,0,11.415625,0,Isha Lewis,32.0,Other,2022-01-21,3.73,1.0,2.0,False,False,True,False,7.0,High,7.692857142857143,93.35828571428571,0.14285714285714285,1677.0
